source_file,source_row,record_id,field,issue_code,severity,original_value,action,message
fuel_deliveries.csv,24,INV-40497,record,DUPLICATE_RECORD,warning,Exact duplicate row,excluded,Exact duplicate record excluded from cleaned data.
fuel_deliveries.csv,93,INV-40962,record,DUPLICATE_RECORD,warning,Exact duplicate row,excluded,Exact duplicate record excluded from cleaned data.
fuel_deliveries.csv,103,INV-40292,record,DUPLICATE_RECORD,warning,Exact duplicate row,excluded,Exact duplicate record excluded from cleaned data.
fuel_deliveries.csv,109,INV-40266,record,DUPLICATE_RECORD,warning,Exact duplicate row,excluded,Exact duplicate record excluded from cleaned data.
fuel_deliveries.csv,133,INV-40715,record,DUPLICATE_RECORD,warning,Exact duplicate row,excluded,Exact duplicate record excluded from cleaned data.
fuel_deliveries.csv,143,INV-40357,record,DUPLICATE_RECORD,warning,Exact duplicate row,excluded,Exact duplicate record excluded from cleaned data.
fuel_deliveries.csv,146,INV-40349,record,DUPLICATE_RECORD,warning,Exact duplicate row,excluded,Exact duplicate record excluded from cleaned data.
fuel_deliveries.csv,123,INV-41777,quantity,NEGATIVE_QUANTITY,warning,-12500.0,flagged,"Negative fuel quantity retained because it may represent a return, credit, or correction."
fuel_deliveries.csv,3,INV-40624,delivery_date,MONTH_ONLY_DATE,info,Oct-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,5,INV-40737,delivery_date,MONTH_ONLY_DATE,info,Feb-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,6,INV-40497,delivery_date,MONTH_ONLY_DATE,info,Aug-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,13,INV-40351,delivery_date,MONTH_ONLY_DATE,info,May-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,22,INV-40232,delivery_date,MONTH_ONLY_DATE,info,Jan-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,37,INV-40893,delivery_date,MONTH_ONLY_DATE,info,May-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,44,INV-40649,delivery_date,MONTH_ONLY_DATE,info,Dec-25,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,48,INV-40953,delivery_date,MONTH_ONLY_DATE,info,Jun-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,52,INV-40860,delivery_date,MONTH_ONLY_DATE,info,Apr-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,58,INV-40962,delivery_date,MONTH_ONLY_DATE,info,Jun-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,62,INV-40745,delivery_date,MONTH_ONLY_DATE,info,Feb-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,65,INV-40916,delivery_date,MONTH_ONLY_DATE,info,Jun-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
fuel_deliveries.csv,70,INV-40717,delivery_date,MONTH_ONLY_DATE,info,Jan-26,retained_as_month,Source delivery date contains month and year only; day-level date is unavailable.
